CODE_LIGNE;LIBELLE_LIGNE;NOM_VOIE;IDRESEAU;X Debut (WGS84);Y Debut (WGS84);X Fin (WGS84);Y Fin (WGS84)
975000;Ligne de Paris-St-Lazare à St-Germain-en-Laye;V1;354002;2,290982142;48,90136499;2,28902497;48,90248227
975000;Ligne de Paris-St-Lazare à St-Germain-en-Laye;V1;354003;2,28902497;48,90248227;2,288089522;48,90300516
975000;Ligne de Paris-St-Lazare à St-Germain-en-Laye;V1;354004;2,288089522;48,90300516;2,284225298;48,90525833
975000;Ligne de Paris-St-Lazare à St-Germain-en-Laye;V1;354005;2,284225298;48,90525833;2,281815739;48,90620157
975000;Ligne de Paris-St-Lazare à St-Germain-en-Laye;V1;354006;2,281815739;48,90620157;2,279161602;48,90672008
975000;Ligne de Paris-St-Lazare à St-Germain-en-Laye;V1;354007;2,279161602;48,90672008;2,274080379;48,90670399
975000;Ligne de Paris-St-Lazare à St-Germain-en-Laye;V1;354008;2,274080379;48,90670399;2,270628373;48,90596144
975000;Ligne de Paris-St-Lazare à St-Germain-en-Laye;V1;354019;2,239037166;48,90933019;2,238348169;48,90910135
975000;Ligne de Paris-St-Lazare à St-Germain-en-Laye;V1;354020;2,238348169;48,90910135;2,235433183;48,90806095
975000;Ligne de Paris-St-Lazare à St-Germain-en-Laye;V1;354021;2,235433183;48,90806095;2,23057251;48,90648796
975000;Ligne de Paris-St-Lazare à St-Germain-en-Laye;V1;354022;2,23057251;48,90648796;2,227421573;48,9055564
